0x006dd5b4,_dadd
0x006ddf48,_dcmp
0x006de1a0,_dcmp_reverse
0x006dd88c,_ddiv
0x006ddd58,_dfix
0x006dde08,_dfixu
0x006dde90,_dflt
0x006ddf3c,_dfltu
0x006d9938,_divmod_signed_int
0x006daf94,_divmod_unsigned_int
0x006ddfd0,_dmul
0x006de240,_drsb
0x006de3cc,_dsub
0x006de750,_f2d
0x006de8d4,_fdiv
0x006deab8,_ffix
0x006deb2c,_ffixu
0x006deb8c,_fflt
0x006debc0,_ffltu
0x006dec40,_fmul
0xff028804,_GetSystemTime
0x006dbd88,_log
0x006dc2c8,_log10
0x006dc440,_pow
0x006dd3f0,_safe_sqrt
0x006df140,_scalbn
0x006de258,_sqrt
0xff024a04,_uartr_req
0xff1aa9fc,AbortAEIntegralValue_FW
0xff039620,AcquireRecursiveLock
0xff02865c,AcquireRecursiveLockStrictly
0xff1ad16c,ActivateAdjLog_FW
0xff4415dc,ActivateImageDrive_FW
0xff11b374,ActivateImager_FW
0xff11b40c,ActivateImagerXOne_FW
0xff1518dc,add_ptp_handler
0xff2029a8,add_ui_to_dialog
0xff1ef22c,AdditionAgentRAM_FW
0xff31e8dc,AddTransparentMemory_FW
0xff443304,AdjAEWithAperturePriority_FW
0xff4432ac,AfAEWithAperturePriority_FW
0xff4434b4,AfAEWithCompensation_FW
0xff117c6c,AFTool.GetEVal_FW
0xff117e94,AFTool.SetAFLogType_FW
0xff117e9c,AFTool.SetDebugAFSequence_FW
0xff117e64,AFTool.StoreAFixPosition_FW
0xff35f230,AllocateMemory
0xff35f230,AllocateMemory_FW
0xff027fc8,AllocateUncacheableMemory
0xff2d30d0,apex2us
0xff03a5cc,atol_FW
0xff1ab804,AttachIntegCrawData_FW
0xff31e914,AttachToTransparentMemory_FW
0xff42a068,Bat_Calc_FW
0xff42a108,Bat_CalcSubCPU_FW
0xff444c98,Bat_Save_FW
0xff444c84,Bat_VIN_FW
0xff07438c,BeepDrive_FW
0xff0743ac,BeepDriveComp_FW
0x006d98e4,bzero
0xff442274,CalcLog10
0xff4422b0,CalcLog10_FW
0xff44bae8,CalcLoopGain_FW
0xff444cb0,CalcLowBatteryOffsetValue_FW
0xff4423a0,CalcSqrt_FW
0xff42a068,CalculateBatSenseOffset_FW
0xff42a108,CalculateBatSenseOffsetSubCPU_FW
0xff44a660,CalculateInterpolationByLS_FW
0xff442244,CalculateLog2ToApex_FW
0xff44221c,CalculatePeakFromLeastSquareResult_FW
0xff44a608,CalculatePeakPosByLS_FW
0xff442258,CalculatePow2FromApex_FW
0xff087770,CalculateTestRecYUVData_FW
0xff0613b8,cameracon_get_state
0xff05eabc,cameracon_set_state
0xff35ec0c,CamInfo_Debug_FW
0xff4430e4,CancelAdj_AEMode_FW
0xff447a34,CancelAdjCdsMode_FW
0xff449008,CancelBPFilterForBP_FW
0xff4429ac,CancelExStrobeMode_FW
0xff3589c4,CancelFocusLensMaxSpeedLimit_FW
0xff0aa38c,CancelHPTimer
0xff4413cc,CancelImageDrive_FW
0xff11b5e0,CancelImager_FW
0xff44bdb8,CancelLoopGainCalc_FW
0xff028a48,CancelTimer
0xff1e3e98,Capture.Create_FW
0xff4414c8,CaptureWithParam_FW
0xff31c608,ChangeAdjImgDrvMode_FW
0xff31c634,ChangeAEIntegDrvTypeToAdjImgDriveType_FW
0xff11b76c,ChangeAutoSlowShutterEnable_FW
0xff29d318,ChangeDefectRecParam_FW
0xff29d618,ChangeDefectSpecParam_FW
0xff444a14,ChangeDistortionSetForLiveImage_FW
0xff444a3c,ChangeElectronicRollISSetting_FW
0xff44b99c,ChangeFilterMode_FW
0xff358b24,ChangeFocusDistanceToPosition_FW
0xff35900c,ChangeFocusLensStopSettingType_FW
0xff441510,ChangeImageDrive_FW
0xff11b664,ChangeImagerToAlternateDraft_FW
0xff11b73c,ChangeImagerToAstroMetamorphose_FW
0xff11b624,ChangeImagerToCombiParallel_FW
0xff11b65c,ChangeImagerToDigiconMode_FW
0xff11b6d4,ChangeImagerToElectraGlide_FW
0xff11b724,ChangeImagerToElectraGlideNepal_FW
0xff11b71c,ChangeImagerToEsperRocketH_FW
0xff11b734,ChangeImagerToEsperRocketHNepal_FW
0xff11b6bc,ChangeImagerToFalconJump_FW
0xff11b69c,ChangeImagerToFantaJungle_FW
0xff11b634,ChangeImagerToFocusJet_FW
0xff11b68c,ChangeImagerToHarleyDavidson_FW
0xff11b6fc,ChangeImagerToHarleyDavidsonNepal_FW
0xff11b6ec,ChangeImagerToHarleySunshine_FW
0xff11b72c,ChangeImagerToHarleySunshineNepal_FW
0xff11b6cc,ChangeImagerToHealthyVegetable_FW
0xff11b64c,ChangeImagerToHoneyFlash_FW
0xff11b6a4,ChangeImagerToHoneyFlashDark_FW
0xff11b714,ChangeImagerToLasVegasMagic_FW
0xff11b6b4,ChangeImagerToLCWideDraft_FW
0xff11b694,ChangeImagerToMachDashV_FW
0xff11b63c,ChangeImagerToMangoPudding_FW
0xff11b654,ChangeImagerToMillefeAdjust_FW
0xff11b67c,ChangeImagerToMontblancMillefe_FW
0xff11b684,ChangeImagerToMontblancMovie_FW
0xff11b674,ChangeImagerToMontblancWhole_FW
0xff11b65c,ChangeImagerToOITA_XAVIER_FW
0xff11b604,ChangeImagerToRegularDrive_FW
0xff11b6ac,ChangeImagerToRoadKing_FW
0xff11b704,ChangeImagerToRoadKingNepal_FW
0xff11b6f4,ChangeImagerToRoadQueen_FW
0xff11b6c4,ChangeImagerToSpriteSunshine_FW
0xff11b644,ChangeImagerToSuperWideDraft_FW
0xff11b70c,ChangeImagerToSuperWideNepal_FW
0xff11b66c,ChangeImagerToUltraGhostQ_FW
0xff11b6e4,ChangeImagerToVeryFastMangoPudding_FW
0xff11b6dc,ChangeImagerToVeryFastWideDraft_FW
0xff11b60c,ChangeImagerToWholeParallel_FW
