0x006dfdac,_dadd
0x006e0740,_dcmp
0x006e0998,_dcmp_reverse
0x006e0084,_ddiv
0x006e0550,_dfix
0x006e0600,_dfixu
0x006e0688,_dflt
0x006e0734,_dfltu
0x006dc130,_divmod_signed_int
0x006dd78c,_divmod_unsigned_int
0x006e07c8,_dmul
0x006e0a38,_drsb
0x006e0bc4,_dsub
0x006e0f48,_f2d
0x006e10cc,_fdiv
0x006e12b0,_ffix
0x006e1324,_ffixu
0x006e1384,_fflt
0x006e13b8,_ffltu
0x006e1438,_fmul
0xff025f14,_GetSystemTime
0x006de580,_log
0x006deac0,_log10
0x006dec38,_pow
0x006dfbe8,_safe_sqrt
0x006e1938,_scalbn
0x006e0a50,_sqrt
0xff0248fc,_uartr_req
0xff1acad8,AbortAEIntegralValue_FW
0x006b8958,AcquireRecursiveLock
0x006b7e88,AcquireRecursiveLockStrictly
0xff1af2c4,ActivateAdjLog_FW
0xff462424,ActivateImageDrive_FW
0xff11c614,ActivateImager_FW
0xff11c6ac,ActivateImagerXOne_FW
0xff151550,add_ptp_handler
0xff212fcc,add_ui_to_dialog
0xff1ff5e8,AdditionAgentRAM_FW
0xff3354c4,AddTransparentMemory_FW
0xff464140,AdjAEWithAperturePriority_FW
0xff4640e8,AfAEWithAperturePriority_FW
0xff4642f0,AfAEWithCompensation_FW
0xff118df0,AFTool.GetEVal_FW
0xff118ff0,AFTool.SetAFLogType_FW
0xff118ff8,AFTool.SetDebugAFSequence_FW
0xff118fc0,AFTool.StoreAFixPosition_FW
0xff3781a0,AllocateMemory
0xff3781a0,AllocateMemory_FW
0xff025d38,AllocateUncacheableMemory
0xff2e5c4c,apex2us
0xff0381a8,atol_FW
0xff1ad8dc,AttachIntegCrawData_FW
0xff3354fc,AttachToTransparentMemory_FW
0xff44ea04,Bat_Calc_FW
0xff465aac,Bat_Save_FW
0xff465a98,Bat_VIN_FW
0xff0755d8,BatteryMilliTempCheck_FW
0xff06ef20,BeepDrive_FW
0xff06ef40,BeepDriveComp_FW
0x006dc0dc,bzero
0xff4630b0,CalcLog10
0xff4630ec,CalcLog10_FW
0xff46c7f4,CalcLoopGain_FW
0xff465ac4,CalcLowBatteryOffsetValue_FW
0xff4631dc,CalcSqrt_FW
0xff44ea04,CalculateBatSenseOffset_FW
0xff46b40c,CalculateInterpolationByLS_FW
0xff463080,CalculateLog2ToApex_FW
0xff463058,CalculatePeakFromLeastSquareResult_FW
0xff46b3b4,CalculatePeakPosByLS_FW
0xff463094,CalculatePow2FromApex_FW
0xff0826dc,CalculateTestRecYUVData_FW
0xff05e7a8,cameracon_get_state
0xff05bdac,cameracon_set_state
0xff377b7c,CamInfo_Debug_FW
0xff463f20,CancelAdj_AEMode_FW
0xff468744,CancelAdjCdsMode_FW
0xff469dc4,CancelBPFilterForBP_FW
0xff4637e8,CancelExStrobeMode_FW
0xff370dbc,CancelFocusLensMaxSpeedLimit_FW
0xff0a60f0,CancelHPTimer
0xff462220,CancelImageDrive_FW
0xff11c87c,CancelImager_FW
0xff46cac4,CancelLoopGainCalc_FW
0xff026134,CancelTimer
0xff1f3954,Capture.Create_FW
0xff462310,CaptureWithParam_FW
0xff075404,CCDMilliTempCheck_FW
0xff333398,ChangeAdjImgDrvMode_FW
0xff3333c4,ChangeAEIntegDrvTypeToAdjImgDriveType_FW
0xff11ca08,ChangeAutoSlowShutterEnable_FW
0xff2b0324,ChangeDefectRecParam_FW
0xff2b05e8,ChangeDefectSpecParam_FW
0xff465828,ChangeDistortionSetForLiveImage_FW
0xff465850,ChangeElectronicRollISSetting_FW
0xff46c6a8,ChangeFilterMode_FW
0xff370f1c,ChangeFocusDistanceToPosition_FW
0xff371400,ChangeFocusLensStopSettingType_FW
0xff462358,ChangeImageDrive_FW
0xff11c900,ChangeImagerToAlternateDraft_FW
0xff11c9d8,ChangeImagerToAstroMetamorphose_FW
0xff11c8c0,ChangeImagerToCombiParallel_FW
0xff11c8f8,ChangeImagerToDigiconMode_FW
0xff11c970,ChangeImagerToElectraGlide_FW
0xff11c9c0,ChangeImagerToElectraGlideNepal_FW
0xff11c9b8,ChangeImagerToEsperRocketH_FW
0xff11c9d0,ChangeImagerToEsperRocketHNepal_FW
0xff11c958,ChangeImagerToFalconJump_FW
0xff11c938,ChangeImagerToFantaJungle_FW
0xff11c8d0,ChangeImagerToFocusJet_FW
0xff11c928,ChangeImagerToHarleyDavidson_FW
0xff11c998,ChangeImagerToHarleyDavidsonNepal_FW
0xff11c988,ChangeImagerToHarleySunshine_FW
0xff11c9c8,ChangeImagerToHarleySunshineNepal_FW
0xff11c968,ChangeImagerToHealthyVegetable_FW
0xff11c8e8,ChangeImagerToHoneyFlash_FW
0xff11c940,ChangeImagerToHoneyFlashDark_FW
0xff11c9b0,ChangeImagerToLasVegasMagic_FW
0xff11c950,ChangeImagerToLCWideDraft_FW
0xff11c930,ChangeImagerToMachDashV_FW
0xff11c8d8,ChangeImagerToMangoPudding_FW
0xff11c8f0,ChangeImagerToMillefeAdjust_FW
0xff11c918,ChangeImagerToMontblancMillefe_FW
0xff11c920,ChangeImagerToMontblancMovie_FW
0xff11c910,ChangeImagerToMontblancWhole_FW
0xff11c8f8,ChangeImagerToOITA_XAVIER_FW
0xff11c8a0,ChangeImagerToRegularDrive_FW
0xff11c948,ChangeImagerToRoadKing_FW
0xff11c9a0,ChangeImagerToRoadKingNepal_FW
0xff11c990,ChangeImagerToRoadQueen_FW
0xff11c960,ChangeImagerToSpriteSunshine_FW
0xff11c8e0,ChangeImagerToSuperWideDraft_FW
0xff11c9a8,ChangeImagerToSuperWideNepal_FW
0xff11c908,ChangeImagerToUltraGhostQ_FW
0xff11c980,ChangeImagerToVeryFastMangoPudding_FW
0xff11c978,ChangeImagerToVeryFastWideDraft_FW
0xff11c8a8,ChangeImagerToWholeParallel_FW
0xff11c8b0,ChangeImagerToWholeParallelBP_FW
0xff11c8c8,ChangeImagerToWideDraft_FW
0xff11c8b8,ChangeImagerToWideDraftFinancier_FW
0xff371744,ChangeIrisSpeed_FW
0xff373b18,ChangeParallelMode_FW
0xff46c6d8,ChangeToISCloseControl_FW
0xff37229c,ChangeZoomLensMagnificationToPoint_FW
0xff37228c,ChangeZoomLensPointToMagnification_FW
0xff37227c,ChangeZoomPointToPosition_FW
0xff463838,ChargeStrobe_FW
0xff463870,ChargeStrobeForFA_FW
0x006b80e8,CheckAllEventFlag
0x006b808c,CheckAnyEventFlag
0xff333ea8,CheckNFCTagWithCount_FW
0xff0a7f18,CheckSumAll_FW
0xff08d588,ClearCzRecordingMovie_FW
0xff2b053c,ClearDefectTurnTable_FW
0xff02d3ac,ClearDUIDFixFlag_FW
0xff02d32c,ClearDurianMode_FW
0x006b8344,ClearEventFlag
0xff02d4d8,ClearFactoryMasterFlag_FW
0xff02d4f0,ClearFactoryMasterROMProtection_FW
0xff02d32c,ClearFactoryMode_FW
0xff04ad4c,ClearImageDrive_FW
0xff46cab4,ClearISCalcZData_FW
0xff373228,ClearISIComponent_FW
0xff373b9c,ClearISZData_FW
0xff144358,ClearNFCOptUnitAssemblyAreaData_FW
0xff143818,ClearNFCSystemArea_FW
0xff4890a0,ClearPMByFs_FW
0xff489088,ClearPMByGpio_FW
0xff333ac8,ClearSoundDevForRecEvent_FW
0xff02ceb0,ClearWLANFactoryMode_FW
0xff335114,ClearZoomCommonDriveParam_FW
0xff33482c,ClearZoomDriveParam_FW
0xff027218,Close
0xff027218,Close_FW
0xff0a8c94,CloseConsole_FW
0xff35398c,closedir
0xff371ca8,CloseMechaShutter_FW
0xff371d00,CloseMechaShutterWithTiming_FW
0xff466a58,CloseMShutter_FW
0xff171b58,ConnectPtpIPService_FW
0xff333330,ConvertAdjImgDrvModeToAdjImgDriveType_FW
0xff3332e4,ConvertAEIntegDrvTypeToAdjImgDriveType_FW
0xff463144,ConvertApexStdToApex_FW
0xff463114,ConvertApexToApexStd_FW
0xff4636f8,ConvertCxCyToWBGain_FW
0xff4687f8,ConvertToPositionWithDistance_FW
0xff4687dc,ConvertToPositionWithDistanceAndZoomPoint_FW
0xff46253c,ConvertTvToExposureTime_FW
0xff462518,CorrectMvFrMem2MemAfterDefMark_FW
0xff0a89f4,CPrintf_FW
0xff0a8a4c,CPutChar_FW
0xff07bfb8,CreateAdjustmentTableMirror_FW
0x006b792c,CreateBinarySemaphore
0x006b7d0c,CreateBinarySemaphoreStrictly
0xff0ab020,CreateController_FW
0x006b79b0,CreateCountingSemaphore
0x006b79b0,CreateCountingSemaphore_FW
0x006b7d34,CreateCountingSemaphoreStrictly
0xff07bfc8,CreateDefectTableMirror_FW
0xff20e070,CreateDialogBox
0x006b7fc4,CreateEventFlag
0x006b7ce4,CreateEventFlagStrictly
0xff1aebd8,CreateFADBGSingalID_FW
0xff466cc4,CreateJumptable
0x006b8418,CreateMessageQueue
0x006b7cbc,CreateMessageQueueStrictly
0xff035318,CreateProxyOfEventProcedure_FW
0x006b8898,CreateRecursiveLock
0x006b7d5c,CreateRecursiveLockStrictly
0x006b5714,CreateTask
0x006b5714,CreateTask_FW
0x006b7c84,CreateTaskStrictly
0xff07cbd4,CreateUserSettingMirror_FW
0xff2af810,CrossDefDetect_FW
0xff2afa14,CrowdLineDetect_FW
0xff2afb94,CrowdLineKizuCheck_FW
0xff0ab2a0,CtrlMan_ChangeZOrder_FW
0xff08d588,CzDebugPrint_FW
0xff08d59c,CzDebugPrintToFile_FW
0xff020234,dcache_clean_flush_and_disable
0xff020300,dcache_clean_flush_range
0xff0202a0,dcache_clean_range
0xff02020c,dcache_flush_and_enable
0xff020284,dcache_flush_range
0xff372aa4,DcmTfMeasure_FW
0xff372b60,DcmTfMeasureForSD_FW
0xff37268c,DcmWowFla_FW
0xff372748,DcmWowFlaForSD_FW
0x006b5ac8,DebugAssert
0xff0ab0fc,DeleteController_FW
0xff026b0c,DeleteDirectory_Fut
0x006b8024,DeleteEventFlag
0x006b84c8,DeleteMessageQueue
0xff035370,DeleteProxyOfEventProcedure_FW
0x006b88f0,DeleteRecursiveLock
0x006b7a10,DeleteSemaphore
0x006b7a10,DeleteSemaphore_FW
0xff466978,DevelopStillPicture_FW
0xff2b5d9c,DevelopTool.DevelopTest_FW
0xff1ae4fc,DeviceUniqueIDCheckSum_FW
0xff1b1a98,DisableDebugLogMode_FW
0xff373570,DisableDISModeChange_FW
0x006b1b10,DisableDispatch_low
0xff370e18,DisableFocusLens_FW
0xff370e94,DisableFocusLensSilentMode_FW
0xff371b20,DisableFocusPiCircuit_FW
0xff4624ec,DisableHeadDirectCapturePath_FW
0xff3716b8,DisableIris_FW
0xff1dc1dc,DisableIrisActuator_FW
0xff373bec,DisableISAutoGyroOffset_FW
0xff3732b0,DisableISDriveError
0xff3732b0,DisableISDriveError_FW
0xff371904,DisableLensError_FW
0xff373cac,DisableMacroIS_FW
0xff371b00,DisableMechaCircuit_FW
0xff371c14,DisableResetGpio_FW
0xff366fb4,DisableZoomActuatorSpeedLog_FW
0xff371b68,DisableZoomEncoderCircuit_FW
0xff372258,DisableZoomLensElectricControl_FW
0xff371e50,DisableZoomLensEncoderPowerControl_FW
0xff372230,DisableZoomLensSpeedControl_FW
0xff371b44,DisableZoomPiCircuit_FW
0xff171b64,DisconnectPtpIPService_FW
0xff06c1bc,DispCon_GetLcdGainAdjParameter_FW
0xff06bfc8,DispCon_GetVideoAdjParameter_FW
0xff06c208,DispCon_SaveLcdGainAdjParameter_FW
0xff06c050,DispCon_SaveVideoAdjParameter_FW
0xff06baec,DispCon_SetDisplayType_FW
0xff06c16c,DispCon_SetLcdGainAdjParameter_FW
0xff06be7c,DispCon_SetMaxBackLightBrightness_FW
0xff06bf40,DispCon_SetVideoAdjParameter_FW
0xff06ba3c,DispCon_ShowBitmapColorBar
0xff06ba3c,DispCon_ShowBitmapColorBar_FW
0xff06ba20,DispCon_ShowBlackChart_FW
0xff06b874,DispCon_ShowColorBar_FW
